"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 31st December 2020 21:30","https://sullygnome.com/channel/sykkuno/stream/41149093726","405","43831","53673","19205","2743","350104","47538","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Wednesday 30th December 2020 23:42","https://sullygnome.com/channel/sykkuno/stream/41138178958","227","43942","52552","9799","2449","157083","39270","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Tuesday 29th December 2020 00:02","https://sullygnome.com/channel/sykkuno/stream/41113519166","327","48880","57076","11952","2173","243459","41438","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Monday 28th December 2020 01:56","https://sullygnome.com/channel/sykkuno/stream/41102787886","258","51106","61863","9564","2125","230727","48614","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Saturday 26th December 2020 22:45","https://sullygnome.com/channel/sykkuno/stream/41088476462","300","41666","51457","12393","2360","278299","50299","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Project Winter|Project_Winter|https://static-cdn.jtvnw.net/ttv-boxart/Project%20Winter-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Friday 25th December 2020 00:04","https://sullygnome.com/channel/sykkuno/stream/41068964206","205","45913","53628","9048","2585","175885","46151","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jackbox Party Packs|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Wednesday 23rd December 2020 22:54","https://sullygnome.com/channel/sykkuno/stream/41057818270","260","41359","46525","10724","2383","158076","30700","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Raft|Raft|https://static-cdn.jtvnw.net/ttv-boxart/Raft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Monday 21st December 2020 21:59","https://sullygnome.com/channel/sykkuno/stream/41034759998","241","45844","51834","7648","1912","153583","38395","Raft|Raft|https://static-cdn.jtvnw.net/ttv-boxart/Raft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Monday 21st December 2020 01:51","https://sullygnome.com/channel/sykkuno/stream/41026208430","188","58689","65563","9929","3055","185166","49775","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Sunday 20th December 2020 00:12","https://sullygnome.com/channel/sykkuno/stream/41013802798","302","32476","41207","10985","2092","198090","37731","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
