"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 22nd December 2019 18:32","https://sullygnome.com/channel/wilbursoot/stream/344026625","87","3984","5537","1165","776","7642","5094","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Monday 16th December 2019 20:58","https://sullygnome.com/channel/wilbursoot/stream/317017265","76","4854","6161","1039","692","6082","3094","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Sunday 8th December 2019 21:42","https://sullygnome.com/channel/wilbursoot/stream/281556273","92","4947","5276","1111","740","10477","5803","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Saturday 7th December 2019 17:29","https://sullygnome.com/channel/wilbursoot/stream/274801953","165","3450","4375","2031","738","14214","4450","Music|Music|https://static-cdn.jtvnw.net/ttv-boxart/Music-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Tuesday 3rd December 2019 21:30","https://sullygnome.com/channel/wilbursoot/stream/258405057","74","4541","5212","749","599","5701","3635","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Saturday 30th November 2019 16:53","https://sullygnome.com/channel/wilbursoot/stream/243466113","81","3060","3425","725","483","7219","3742","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Friday 29th November 2019 20:00","https://sullygnome.com/channel/wilbursoot/stream/239520673","45","3250","3745","391","391","6455","5516","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Thursday 28th November 2019 00:39","https://sullygnome.com/channel/wilbursoot/stream/232383665","110","2774","3164","879","439","6915","2767","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Sunday 24th November 2019 23:58","https://sullygnome.com/channel/wilbursoot/stream/219527489","76","3058","3303","527","421","6198","4588","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Saturday 23rd November 2019 19:20","https://sullygnome.com/channel/wilbursoot/stream/212329409","189","3818","5013","2324","546","20116","4410","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
