"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 30th December 2020 04:29","https://sullygnome.com/channel/karljacobs/stream/40017004269","75","84439","96695","5876","4700","150273","81172","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Monday 28th December 2020 06:28","https://sullygnome.com/channel/karljacobs/stream/39997484669","46","55855","62724","2482","3309","52535","53566","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Sunday 27th December 2020 04:15","https://sullygnome.com/channel/karljacobs/stream/39986739389","104","74382","76253","7112","4064","99539","47393","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Friday 25th December 2020 00:02","https://sullygnome.com/channel/karljacobs/stream/39967275197","237","47604","69686","19784","4946","187064","43418","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jackbox Party Packs|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Monday 21st December 2020 01:59","https://sullygnome.com/channel/karljacobs/stream/39931862877","180","46155","67821","15280","5093","145701","39480","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Sunday 20th December 2020 02:32","https://sullygnome.com/channel/karljacobs/stream/39922852701","132","80945","87126","9654","4290","144798","56647","Jackbox Party Packs|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Wednesday 16th December 2020 00:08","https://sullygnome.com/channel/karljacobs/stream/39882698221","141","109059","119612","18909","7563","198970","65299","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Monday 14th December 2020 00:03","https://sullygnome.com/channel/karljacobs/stream/39864148813","161","61694","68362","12199","4436","147306","43919","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Saturday 12th December 2020 19:43","https://sullygnome.com/channel/karljacobs/stream/39852825149","196","14157","20098","9815","3020","123316","33401","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Friday 11th December 2020 20:19","https://sullygnome.com/channel/karljacobs/stream/39843464013","175","31751","44721","13420","4473","131237","38982","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Wednesday 9th December 2020 05:08","https://sullygnome.com/channel/karljacobs/stream/39827377069","111","93973","103909","13337","6668","122519","50975","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Monday 7th December 2020 02:35","https://sullygnome.com/channel/karljacobs/stream/39814152877","144","49619","58318","7927","3170","119447","42937","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Sunday 6th December 2020 01:52","https://sullygnome.com/channel/karljacobs/stream/39807336813","262","63461","76651","14692","3264","173907","36150","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jackbox Party Packs|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Saturday 5th December 2020 03:26","https://sullygnome.com/channel/karljacobs/stream/39801359437","138","41723","50283","8963","3585","84606","29557","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
